source_row,text,department,predicted_department,confidence,review_status,case_type,review_note
27910,"I'd like to get a reimbursment, could I get some help?",Refund,Refund,0.33869449384354233,human_review,low_confidence_correct,
18748,i had a problem checikng out with card I'd like to report it,Billing,Billing,0.5153360727803052,human_review,low_confidence_correct,
27805,I'd like to get a fucking reimhursement i need help,Refund,Refund,0.5171465769755709,human_review,low_confidence_correct,
19052,"I'd like to solve a fucking patment problem, could I get some help?",Billing,Billing,0.5239288933645774,human_review,low_confidence_correct,
18314,id a fucking problem checking out with crd report it,Billing,Billing,0.5389705681530489,human_review,low_confidence_correct,
27395,I'm trying to find a refun could i get some help,Refund,Refund,0.5412691292814179,human_review,low_confidence_correct,
27389,im trying to find a reimbursdement will uhelp me,Refund,Refund,0.5454539619134388,human_review,low_confidence_correct,
22398,"I need to recover my passdword, help me",Account Access,Account Access,0.5498455690648798,human_review,low_confidence_correct,
37553,"I want tosubmit a complaint, I need assistance",Product Feedback,Product Feedback,0.5572828691146967,human_review,low_confidence_correct,
27601,i want a refudn how can i get it,Refund,Refund,0.5620765175881486,human_review,low_confidence_correct,
38097,wanna sewnd a review will ya help me,Product Feedback,Product Feedback,0.5776467619171998,human_review,low_confidence_correct,
22052,reprt a product problem,Technical Support,Technical Support,0.6193070992877908,human_review,low_confidence_correct,
19365,id like to know about ur paymnt methods give me some information,Billing,Billing,0.6210062788572592,human_review,low_confidence_correct,
18044,i want help making tranfsers,Billing,Billing,0.6221637341140539,human_review,low_confidence_correct,
27555,wanna request a refundcan ya help me,Refund,Refund,0.6241019797231838,human_review,low_confidence_correct,
38676,can uhelp me sending productfeedback,Product Feedback,Product Feedback,0.6420541630083403,human_review,low_confidence_correct,
17931,"I have to chrck out, could you help me?",Billing,Refund,0.3384780026794361,human_review,misclassified,
27394,"I'd like to get areimbursement, help me",Refund,Billing,0.43040026902261413,human_review,misclassified,
19209,wanna know about ur fucking paymdnt methods can ufind some information,Billing,Refund,0.4703807440681439,human_review,misclassified,
21540,need to reportissues in a product can uhelp me,Technical Support,Product Feedback,0.550076991309375,human_review,misclassified,
